,AAPL,AMZN,EFA,META,NVDA,SPY,TAIL,TSLA,USMV,VIXY,regime
2025-01-06,-0.0005887641812641694,4.233622890228984e-05,-0.03683612941318427,0.05933816130871778,0.08015670907335856,-0.2125751064055516,0.11321106213953541,0.03288771893694948,0.9200843426861707,0.04427966962636589,0
2025-02-06,0.07825959893373723,-0.030434001525855965,-0.12805271383298936,0.06323680033869264,0.03709654837628386,-0.09151328464115469,0.19185455752040104,0.022081421866049472,0.8239153010034955,0.03355577196134036,0
2025-03-10,0.01857176385659551,-0.12052081113379083,0.16504653163089072,0.08414754549556329,0.05838582484311366,-0.12946534841774981,-1.3840448459416893e-05,0.00499009168176787,0.8643502155552651,0.054508026936803775,0
2025-04-08,-0.16601307678074947,0.13581360829529487,-0.08398692321925047,0.015187152276413218,0.10493903355150594,7.206558467755326e-05,0.4745135491384593,0.05884301430974966,0.45072626135223676,0.009905315491662724,0
2025-05-08,-0.012282333363602951,0.08992154246951083,0.5118532036935385,0.06685160819793472,0.07160525887503755,-0.09962027532140817,0.4917659369909584,-0.10018889157111872,0.018002449773019995,-0.03790849974387012,1
2025-06-09,0.08007531333436999,0.07977513194511028,0.02009474825361479,0.10247961519510534,0.03385180266019443,-0.24999999999999994,0.04670443850782831,0.019003600456966432,0.7688954134024729,0.09911993624433743,0
2025-07-10,-0.06530171197341952,0.0013685795197786682,0.03781419287624482,0.11157348992144188,0.032674021056670374,-0.017002636607995877,0.2379268398944627,0.0070173031162864335,0.6206721428797636,0.03325777931676692,0
2025-08-08,0.14801682253969892,3.048662070812891e-05,0.6853236257461119,0.30380945891404204,0.040865900679589964,-0.027290280796408994,0.071887661493112,-0.213142689398239,6.60440067368944e-05,-0.00956702980535204,1
2025-09-09,-0.027688971272745277,-0.02826174098874698,0.28942872329757086,0.06461398755950581,0.011981287204522089,0.41605433797187047,0.4548957280034313,-0.02402263093396051,-0.17002665680454718,0.013025935963099403,0
2025-10-08,1.844766538785053e-06,0.004452163772594346,-0.0997933933184553,-0.08379412277465394,-0.007253115723433188,0.9673898169024047,0.2016825532180161,0.01939095279986438,-0.059159368183457774,0.05708266854058204,1
2025-11-06,0.09223566426262785,0.039718108436069065,0.03883968389954364,0.018342233785036226,-0.1103048571234702,-6.817203373581257e-07,1.0,0.06086325981674673,1.0497999761626297e-06,-0.1396944611561925,1
2025-12-08,-0.010693173827798646,-0.03932214754375416,-0.026872736966411057,-0.004063079349730379,0.02724676774676376,0.767080289136152,0.4005817772824352,0.015266349490550276,-0.1690488623123057,0.039824816344098846,1
