Date,AAPL_ret,AMZN_ret,EFA_ret,META_ret,NVDA_ret,SPY_ret,TAIL_ret,USMV_ret,VIXY_ret,VNQ_ret,AAPL_vol,AMZN_vol,EFA_vol,META_vol,NVDA_vol,SPY_vol,TAIL_vol,USMV_vol,VIXY_vol,VNQ_vol,AAPL_mom,AMZN_mom,EFA_mom,META_mom,NVDA_mom,SPY_mom,TAIL_mom,USMV_mom,VIXY_mom,VNQ_mom
2015-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2015-01-05,-0.0285756555655637,-0.0207306937422902,-0.02388801237719,-0.0161914562000918,-0.0170347500066635,-0.0182251160350979,0.0,-0.0094245933266258,0.0720611015887769,0.0054580058149028,,,,,,,,,,,,,,,,,,,,
2015-01-06,9.409567478459348e-05,-0.0230980525055285,-0.0113918696996521,-0.0135649071145885,-0.0307874353681396,-0.0094631403702292,0.0,-0.0027449855188938,0.0214389631543013,0.0098701994021245,,,,,,,,,,,,,,,,,,,,
2015-01-07,0.0139247878939164,0.0105439569377728,0.0110533305690653,0.0,-0.0026088416533478,0.0123840317536217,0.0,0.0126629759766329,-0.0337034820916654,0.0152147414026295,,,,,,,,,,,,,,,,,,,,
2015-01-08,0.0377026245301891,0.0068127593805201,0.0134389552755989,0.0263089358154056,0.0369273151350355,0.0175894061074594,0.0,0.0146952934727239,-0.0661241773824734,0.0037678925654491,,,,,,,,,,,,,,,,,,,,
2015-01-09,0.0010717842971238,-0.0118181703812782,-0.0048506138716748,-0.0056440705254574,0.0040201658219848,-0.0080460512647611,0.0,-0.0058518628845446,0.0383188643021366,0.0004700159214736,,,,,,,,,,,,,,,,,,,,
2015-01-12,-0.0249495768891171,-0.0187652115901823,-0.0023502764709855,-0.0132073918241718,-0.0126171632078691,-0.0078642880824464,0.0,-0.0044118246938809,0.0463704829243337,0.0076063724968586,,,,,,,,,,,,,,,,,,,,
2015-01-13,0.008839849923478,0.0113624074454807,0.0050293711026382,-0.0035255029811247,-0.001524856348706,-0.0028167742295437,0.0,-0.0009834759269751,0.0283079494720356,-0.0015164599336552,,,,,,,,,,,,,,,,,,,,
2015-01-14,-0.0038182243163433,-0.004999968410075,-0.002847003435881,-0.0022262852294767,0.0040612327346263,-0.0060554244692621,0.0,-0.003448129967323,0.0177225299885967,0.0086025356246516,,,,,,,,,,,,,,,,,,,,
2015-01-15,-0.0275151625591904,-0.0217857010357306,0.0063525292541849,-0.0296701389342395,-0.0071177486621267,-0.0092029057230657,0.0,-0.0014812689068371,0.0303820836881229,0.0023122423731567,,,,,,,,,,,,,,,,,,,,
