,AAPL,AMZN,EFA,META,NVDA,SPY,TAIL,TSLA,USMV,VIXY,regime
2016-02-02,-0.022910598936179968,0.0161521522736841,-0.044090211013685106,0.011159961125709912,0.005980437787048759,-0.12241257786414125,0.9999999999999998,0.0018948162946718678,0.18222748846170356,-0.02800146812881307,1
2016-03-03,-0.018660514450512852,0.01547675612004565,0.0020370920234963016,0.023721314940053945,0.01995960474741559,-0.12250289854530265,1.0,-0.006496655427171068,0.08997627914177429,-0.003510978549799712,0
2016-04-04,-0.030289682845631678,0.0272114556327715,-0.0017588172715726858,0.020051010129441313,0.02013970807915349,-0.20420928422901186,0.9999999999999999,-0.0036791393212999342,0.18259782615863385,-0.010063076332483952,0
2016-05-03,-0.007679294821752626,0.031933199285633235,-0.07097021909419891,-0.014396138174618166,0.022159536007421723,-0.1548266291401016,0.9799530427049938,0.005843950013352499,0.2101102719885987,-0.002127718769328619,0
2016-06-02,0.025093429834511603,0.019865505749122776,-0.0703550001948868,-0.02870584704625733,0.01113630332781977,-0.14186788634915318,0.9638063081463413,-0.00220554645788927,0.22991453550867286,-0.00668180251828171,1
2016-07-01,-0.04075168801819377,0.028812763820874828,-0.03161225996931044,0.01893413130588845,0.035288945091043605,-0.1523321044003252,0.9640623520618598,-0.005984257102427792,0.18756194505761886,-0.00397982784702825,0
2016-08-02,-0.015195167718640407,0.03449996162955479,-0.0032239224612717107,-0.0034471843972072834,0.059355034466972316,-0.10283825643520804,1.0,-0.0024043545184009607,0.040751814829152536,-0.007497925394951245,0
2016-08-31,0.00016029795662260803,0.02712794093454153,-0.06785232156554535,-0.02317900561561186,0.07482853131009311,-0.11825116055169818,0.9575129465629222,-0.006810972797228004,0.1586270629597458,-0.002163319193841802,0
2016-09-30,-0.022880085617866558,0.05141202517449527,-0.020678775351485837,0.010397865513740482,0.06906396698592292,-0.12075562506038891,0.9999999999999979,-0.010112170725520857,0.0519149763663635,-0.00836217728525786,0
2016-10-31,-0.01197799443787255,0.021658829747440794,-0.0036824983848077965,0.021785442994663142,0.042864737344387234,-0.05733616922319536,0.9999999999999996,0.0026781394624711546,-0.011605624672341304,-0.004384862830744814,1
2016-11-30,0.044017753320962284,0.057008052193637804,-0.05107555784932503,0.04951047571023106,0.036976256089246956,-0.027290529837075257,1.0,-0.041074823237008215,-0.04306970057418778,-0.025001925816492774,1
2016-12-30,-0.06445381750267684,-5.312315860006644e-05,-0.12963502380922992,0.014142611204848686,0.07314432818014593,0.04231607961699268,0.9999999999999999,-0.03226739759608296,0.11067703100810362,-0.013870687943500817,0
2017-02-01,-0.016363756357945475,-0.018709778713427168,-0.09626878094729213,0.02632407851015736,0.10577740874534626,-0.03427918808819461,0.9999999999999998,-0.022578076989012912,0.11789851274449709,-0.06180041890412821,0
2017-03-03,-0.003418048314550332,0.011639002814015906,-0.1345564701841076,-0.029827619666017418,0.02488179617570476,0.2072535767984385,1.0,-0.0028375047882643833,-0.05450983789835618,-0.01862489493686329,0
2017-04-03,0.036444033806400704,0.05596159014742421,-0.04576243892323544,-0.019700722483118775,0.086713063299356,-0.05341800002606646,0.9999999999999988,-0.022795173696600217,0.04195403912647153,-0.07939639125063053,0
2017-05-03,0.056660797873186196,0.13392708904399978,0.14326236175826926,0.07227861249941551,0.09859201342080404,-1.0062371227068413e-05,0.7452791254043252,-0.045125029609109246,-0.13776774931580724,-0.06709715870385628,0
2017-06-02,0.09889020108914545,0.16543529963544862,-0.07635915048166511,-0.1161632089199968,0.0728410476126226,0.04544191747531645,0.7405340644819776,-0.04612392643654228,0.12685746970548908,-0.011353714161795649,0
2017-07-03,-0.10215370671243425,0.005940020855498947,-0.13067659221958625,0.02309918566299265,0.08485671650372971,1.801931096438224e-05,0.13286426521203826,0.003221792454776038,1.0,-0.017169701067979475,1
